,Class,W,L,Tierscore,Archetype,First Turn Playable,2-Drops,3-Drops,4-Drops,5-Drops,Late-game,Pings,Early Removals,Large Removals,Board clear,Reach,Card Draw,Win Rate,Total Games
Class,1.0,-0.08774086554591243,0.12941652719661065,0.04556144427679511,-0.07920036805080706,-0.07224420750917347,-0.11727666825373631,-0.13517180199452353,-0.01325213745044344,0.03162671842513056,-0.21586953039742615,-0.19021960740549812,-0.370864825307355,0.21779357651206172,-0.02742956516265057,-0.3332885320315096,0.3306912772485936,0.0671204343032816,-0.04295889797057989
W,-0.08774086554591243,1.0,0.32643127461868654,0.1948891439964917,-0.03478253215962372,0.05743638834729737,-0.0236949316968743,0.13754843517856127,0.07161612740701964,-0.06560356427918007,-0.02903872750168611,-0.01984006072902835,0.22338020605796396,-0.1137852139000371,-0.045462793155147424,0.015241251446956148,0.044140363817275485,0.8359270903453749,0.9679851400153011
L,0.12941652719661065,0.32643127461868654,1.0,-0.004509520143907645,-0.04275311634242083,-0.09530758674331967,0.09174292790923179,0.2339011292931639,0.08299717491047755,-0.07775704532964797,0.08115481806771778,0.1660402964701299,0.04360799420267896,-0.007786000676202761,0.06286591170548532,0.20232565955562792,-0.09765961206703953,0.2670822970259107,0.55323817471572
Tierscore,0.04556144427679511,0.1948891439964917,-0.004509520143907645,1.0,0.03883463078558649,-0.11365938080369921,-0.21342146806719156,0.19687641030350403,-0.15640908067022008,-0.260093219118914,0.22724514324878844,0.09023259064570147,0.27113508421812027,-0.28033726883896726,0.25388200754241647,-0.1914892810789933,0.3309889316985324,0.328560151914845,0.1705582612432545
Archetype,-0.07920036805080706,-0.03478253215962372,-0.04275311634242083,0.03883463078558649,1.0,0.38191546736138254,0.18096993788124935,0.03500461597247143,-0.02571429135418522,-0.06359967946371768,-0.290184262299956,0.026059020353931362,0.2454586345539393,0.07344191061799986,0.1514948989515532,0.2629121659747679,-0.30838141569284155,-0.10089139245764117,-0.04200711714247298
First Turn Playable,-0.07224420750917347,0.05743638834729737,-0.09530758674331967,-0.11365938080369921,0.38191546736138254,1.0,-0.17826639311704873,-0.013406350498228786,-0.12250630627691858,-0.20295104669826447,-0.3443309279916054,0.09436473596070222,0.10620505570783881,0.07584963726734487,0.03620637278411327,0.00929724284659693,0.08284877558464411,0.018440532283382743,0.0253093417566882
2-Drops,-0.11727666825373631,-0.0236949316968743,0.09174292790923179,-0.21342146806719156,0.18096993788124935,-0.17826639311704873,1.0,-0.16681053891940917,0.02441129837845026,0.04716950035372508,-0.22905941407931013,-0.06329047677087057,0.04776375846970412,-0.028339175705039018,-0.2889872017994439,0.1472833783153742,-0.04860958266610111,-0.21050789941512416,0.0034803901700285324
3-Drops,-0.13517180199452353,0.13754843517856127,0.2339011292931639,0.19687641030350403,0.03500461597247143,-0.013406350498228786,-0.16681053891940917,1.0,-0.08183282096325596,-0.3409520284834499,-0.10490510442234698,0.08742493628937127,0.25720818498462616,-0.23188246411863303,-0.14051179674526643,0.1142323322285387,0.037458454575259974,0.18578290531631989,0.18333487890301545
4-Drops,-0.01325213745044344,0.07161612740701964,0.08299717491047755,-0.15640908067022008,-0.02571429135418522,-0.12250630627691858,0.02441129837845026,-0.08183282096325596,1.0,0.03681074997785925,-0.09900050192202756,-0.04387909762935405,0.0863001146987888,-0.1910953205928799,0.18149440412930243,0.08910907015765739,-0.17213398775635014,0.05171778013952709,0.08515554484566304
5-Drops,0.03162671842513056,-0.06560356427918007,-0.07775704532964797,-0.260093219118914,-0.06359967946371768,-0.20295104669826447,0.04716950035372508,-0.3409520284834499,0.03681074997785925,1.0,-0.1801156716669611,0.07738849713815484,-0.19792752004369737,0.0068498542107546375,-0.01709496993290237,0.05501790991215835,-0.2877937524915015,-0.1557072634293984,-0.07846513447293851
