Creation Date,Step Count
2023-10-03 01:47:20+03:00,107
2023-10-04 00:47:37+03:00,122
2023-10-04 00:58:32+03:00,109
2023-10-04 07:32:50+03:00,278
2023-10-04 07:36:02+03:00,106
2023-10-04 07:36:02+03:00,104
2023-10-04 07:36:02+03:00,111
2023-10-04 07:37:25+03:00,113
2023-10-04 07:42:11+03:00,669
2023-10-04 07:47:29+03:00,212
2023-10-04 07:53:22+03:00,103
2023-10-04 08:44:02+03:00,102
2023-10-04 08:44:02+03:00,103
2023-10-04 08:44:02+03:00,101
2023-10-04 08:45:48+03:00,870
2023-10-04 08:46:09+03:00,100
2023-10-04 09:11:33+03:00,834
2023-10-04 09:14:51+03:00,701
2023-10-04 09:23:26+03:00,144
2023-10-04 10:35:30+03:00,100
2023-10-04 10:36:47+03:00,102
2023-10-04 11:12:24+03:00,250
2023-10-04 11:12:38+03:00,217
2023-10-04 11:27:36+03:00,804
2023-10-04 11:28:44+03:00,888
2023-10-04 12:08:48+03:00,130
2023-10-04 13:38:39+03:00,147
2023-10-04 13:49:25+03:00,369
2023-10-04 13:53:35+03:00,852
2023-10-04 13:58:34+03:00,621
2023-10-04 14:05:54+03:00,142
2023-10-04 15:02:05+03:00,618
2023-10-04 15:04:08+03:00,694
2023-10-04 15:12:30+03:00,514
2023-10-04 15:13:58+03:00,438
2023-10-04 15:29:03+03:00,329
2023-10-04 15:30:59+03:00,371
2023-10-04 15:36:11+03:00,102
2023-10-04 15:36:11+03:00,107
2023-10-04 15:36:11+03:00,101
2023-10-04 15:38:10+03:00,100
2023-10-04 15:39:14+03:00,856
2023-10-04 15:48:59+03:00,178
2023-10-04 15:49:07+03:00,190
2023-10-04 16:46:07+03:00,614
2023-10-04 16:46:16+03:00,657
2023-10-04 16:56:48+03:00,602
2023-10-04 16:57:48+03:00,661
2023-10-04 19:44:09+03:00,124
2023-10-05 13:15:07+03:00,183
2023-10-05 13:23:52+03:00,271
2023-10-05 13:25:56+03:00,175
2023-10-05 13:51:14+03:00,169
2023-10-05 13:53:49+03:00,126
2023-10-05 15:24:44+03:00,607
2023-10-05 15:26:41+03:00,575
2023-10-05 15:33:41+03:00,582
2023-10-05 15:35:46+03:00,628
2023-10-05 17:37:42+03:00,467
2023-10-05 17:37:44+03:00,474
2023-10-05 17:47:45+03:00,870
2023-10-05 17:48:21+03:00,784
2023-10-05 17:58:04+03:00,447
2023-10-05 17:58:34+03:00,518
2023-10-05 18:08:03+03:00,127
2023-10-05 18:08:05+03:00,124
2023-10-05 18:31:22+03:00,141
2023-10-05 18:34:04+03:00,145
2023-10-06 17:34:36+03:00,361
2023-10-06 17:37:28+03:00,102
2023-10-06 17:43:00+03:00,753
2023-10-06 17:48:20+03:00,388
2023-10-06 18:39:38+03:00,108
2023-10-06 18:47:40+03:00,840
2023-10-06 18:50:33+03:00,675
2023-10-06 18:57:52+03:00,173
2023-10-06 19:04:11+03:00,488
2023-10-06 19:07:53+03:00,438
2023-10-06 19:14:05+03:00,309
2023-10-06 19:18:32+03:00,325
2023-10-06 20:56:38+03:00,111
2023-10-06 21:06:53+03:00,512
2023-10-06 21:06:55+03:00,523
2023-10-07 00:51:31+03:00,363
2023-10-07 00:52:47+03:00,291
2023-10-07 01:01:34+03:00,260
2023-10-07 01:04:52+03:00,470
2023-10-07 01:14:34+03:00,443
2023-10-07 01:15:38+03:00,252
2023-10-07 01:24:59+03:00,907
2023-10-07 01:25:08+03:00,903
2023-10-07 01:35:13+03:00,548
2023-10-07 01:35:56+03:00,443
2023-10-07 01:55:12+03:00,197
2023-10-07 02:16:10+03:00,184
2023-10-07 02:24:26+03:00,114
2023-10-07 02:26:05+03:00,398
